,open,close
2016-02-24,15.98,16.74
2016-02-23,16.56,16.18
2016-02-22,16.35,16.48
2016-02-19,15.92,16.08
2016-02-18,16.12,15.98
2016-02-17,15.6,16.11
2016-02-16,15.11,15.62
2016-02-15,14.68,15.05
2016-02-05,15.02,15.3
2016-02-04,14.52,15.15
2016-02-03,14.5,14.47
2016-02-02,14.15,14.55
2016-02-01,13.99,14.1
2016-01-29,13.59,13.97
2016-01-28,13.96,13.56
2016-01-27,14.64,13.99
2016-01-26,15.76,14.53
2016-01-25,15.78,15.9
2016-01-22,15.5,15.57
2016-01-21,15.7,15.4
2016-01-20,16.05,16.01
2016-01-19,15.55,16.22
2016-01-18,14.97,15.56
2016-01-15,15.71,15.42
2016-01-14,14.86,15.94
2016-01-13,15.45,15.28
2016-01-12,15.9,15.3
2016-01-11,16.59,15.9
2016-01-08,18.5,17.67
2016-01-07,19.7,18.04
2016-01-06,19.9,20.05
2016-01-05,19.0,19.83
2016-01-04,22.8,20.69
2015-12-31,21.9,22.98
2015-12-30,21.88,21.85
2015-12-29,21.86,21.78
2015-12-28,23.2,21.89
2015-12-25,23.18,23.19
2015-12-24,24.05,23.05
2015-12-23,23.97,24.11
2015-12-22,23.8,23.8
2015-12-21,24.2,23.95
2015-12-18,23.53,23.99
2015-12-17,22.5,23.33
2015-12-16,22.59,22.24
2015-12-15,22.24,22.32
2015-12-14,21.61,22.29
2015-12-11,21.81,21.89
2015-12-10,21.85,22.2
2015-12-09,21.06,21.3
2015-12-08,21.93,21.06
2015-12-07,21.45,22.02
2015-12-04,21.1,21.45
2015-12-03,20.66,21.18
2015-12-02,21.3,20.81
2015-12-01,20.38,21.25
2015-11-30,21.18,20.44
2015-11-27,23.35,21.17
2015-11-26,23.85,23.53
2015-11-25,23.4,23.85
2015-11-24,23.26,23.64
2015-11-23,24.55,23.3
2015-11-20,23.93,24.23
2015-11-19,23.72,23.91
2015-11-18,26.17,24.01
2015-11-17,27.62,26.1
2015-11-16,24.51,26.05
2015-11-13,24.1,24.95
2015-11-12,24.62,24.03
2015-11-11,24.2,24.65
